1,0604041071005273611,MD5860226340534482710520,21,17-04-2022,6
2,3545214934208144,NL41MIGS2389939465,18,06-04-2021,8
3,3545214934208144,SI98397065207785717,573,12-04-2021,4
4,201694443691883,DE59418084112530380214,10,14-05-2021,4
5,3545214934208144,IQ86BGCQ605758161158884,742,17-05-2021,16
6,3545214934208144,JO33CXAK4019486286072200895281,289,23-05-2021,17
7,201694443691883,BY91686859148228813080886167,346,27-06-2021,3
8,3574144298800935,LV27TPYW5658482129676,659,18-08-2021,13
9,0604621349629116,MD3516041554886658371484,473,29-08-2021,17
10,6333260678108171,MK73620077620369144,475,03-12-2021,6
11,6333260678108171,SD7831143617597119,205,28-08-2022,13
12,5038110163419684,SC65FTOD40976031322543091199PZH,353,19-08-2021,15
13,5602212368880656,DJ6883364180469399581943696,1508,17-05-2022,19
14,5038110163419684,ST51089205873540823255953,388,03-12-2022,4
15,201407828777338,NL06XNII5146573808,253,15-04-2022,6
16,201460557761601,BY94250572954504573183367147,794,10-07-2021,4
17,201460557761601,AT167536564847613465,1852,15-07-2021,7
18,201460557761601,CZ0661984388459058544466,1248,17-07-2021,10
19,3550002078422221,BA824499334222123490,241,17-07-2021,17
20,3559147067805463,ST69827237939231264913571,57,29-05-2022,19
21,3559147067805463,RO67LCJC6033477399008895,520,06-12-2022,8
22,201486478168055,AE339141763044549878467,181,01-10-2022,5
23,201486478168055,AD1165300732614634178420,78,02-10-2022,5
24,201486478168055,XK971271013066209118,71,25-10-2022,16
25,201486478168055,MR6745542950771774337131219,401,29-11-2022,14
26,201489072724521,MR7536332400474893643374523,292,27-06-2021,7
27,201637817749381,GR1131396508100616059259300,1453,15-05-2022,13
28,201637817749381,TN3449416306587592890598,95,13-06-2022,12
29,5112376173452705,VA32062135356275174816,507,02-08-2022,8
30,201683530275072,IE24YBCN02453561742243,15,10-08-2022,8
31,3574144298800935,PL17149921851191275053884040,27,07-04-2021,16
32,0604208558230577674,KW66EEMC9918478047597116485211,988,20-05-2021,13
33,3545214934208144,DO74916706477723373350417184,203,04-06-2021,3
34,3574144298800935,SK9483147320894828716608,188,08-06-2021,12
35,3545214934208144,PT75821682426990860239659,258,30-06-2021,13
36,3545214934208144,HR8800435379438603480,92,10-07-2021,7
37,201694443691883,MC0730606338211713141267326,319,16-07-2021,18
38,201694443691883,BR2759394846679005959047787Y6,32,28-07-2021,19
39,5007668691876706,CZ7986266282016391180118,433,14-02-2022,6
40,201780737200703,GL2600191913679763,1224,19-02-2022,8
41,201792371533919,LV67WVVY4409703035204,1280,05-07-2022,8
42,201807471240148,PS95USLK304735251842049643900,137,15-11-2021,5
43,201884412108924,BE68029259604906,70,05-07-2022,6
44,4175009407469511,AZ90DFAD03601931228243837999,418,11-08-2022,5
45,201906897724188,IT65N3991899356408870888656,172,24-03-2022,3
46,5602241383625549,SV19OJFH46781736965355967444,1136,06-04-2022,15
47,5602241383625549,MK81754744838766647,479,07-04-2022,6
48,201906897724188,BH29DJBH42622906448875,613,17-04-2022,7
49,3575587928104996,ES6533417113198491679010,129,15-09-2022,9
50,3575587928104996,TR384435254963879344465441,193,07-10-2022,2
51,5010122278903983,GI77FOGA870428034941503,402,19-10-2022,5
52,201906897724188,CZ4122844937816465764930,667,30-11-2022,19
53,5010122278903983,DE51712807381264121143,268,14-12-2022,19
54,3575587928104996,GI13JFCQ849380048092486,293,26-12-2022,17
55,201683530275072,BG18RNPT44983743507530,7,17-07-2022,9
56,201683530275072,GE02OS3173791861957865,431,18-08-2022,6
57,201925489518964,CY52842243233816284758099198,801,21-08-2022,2
58,201927261126404,BY56537652853619076229380313,46,13-04-2022,14
59,201927261126404,AL94410556651014446900713975,400,13-06-2022,16
60,3569033561741479,GE94KQ8867942709147741,239,07-08-2022,6
61,201700067098907,BG18RNPT44983743507530,176,04-10-2021,16
62,4041593122344,FI8426461725934278,65,14-11-2021,7
63,201972263539170,CH3372310053375236525,15,03-12-2021,12
64,30020475989275,SA1080592182566831668761,716,13-06-2022,2
