1,0604041071005273611,2350,28,27-04-2022
2,0604041071005273611,730,77,05-04-2022
3,0604208558230577674,1910,18,01-07-2021
4,0604621349629116,1170,10,05-12-2022
5,0604621349629116,1140,51,13-05-2022
6,0604621349629116,870,33,11-08-2022
7,0604621349629116,2120,8,08-09-2021
8,0604745800328270,370,80,09-07-2021
9,0604745800328270,1330,72,29-11-2021
10,0604745800328270,860,23,12-03-2022
11,0604745800328270,2400,56,06-12-2022
12,201407828777338,2030,80,15-04-2022
13,201407828777338,210,13,09-09-2022
14,201407828777338,1440,72,19-06-2022
15,201407828777338,140,75,30-04-2022
16,201407828777338,1740,18,05-01-2023
17,201460557761601,1710,83,23-06-2021
18,201460557761601,1030,31,05-07-2021
19,201460557761601,2230,51,26-06-2021
20,201460557761601,1220,77,17-07-2021
21,201460557761601,800,75,17-07-2021
22,201464450985689,310,71,15-12-2022
23,201464450985689,1850,14,30-07-2022
24,201471156238123,910,40,26-06-2022
25,201486478168055,1100,74,26-11-2022
26,201486478168055,590,55,30-09-2022
27,201486478168055,2250,55,06-12-2022
28,201486478168055,680,28,05-10-2022
29,201538989464173,1370,45,10-10-2022
30,201637817749381,180,75,14-12-2022
31,201637817749381,1660,48,01-04-2022
32,201637817749381,580,5,29-11-2021
33,201637817749381,2350,21,14-05-2022
34,201637817749381,1950,23,25-04-2022
35,201683530275072,1780,35,17-07-2022
36,201683530275072,1090,83,23-11-2022
37,201683530275072,0,62,24-02-2022
38,201694443691883,1880,53,16-05-2021
39,201694443691883,170,6,06-04-2021
40,201694443691883,760,67,19-06-2021
41,201780737200703,1470,86,15-02-2022
42,201780737200703,2080,49,14-02-2022
43,201780737200703,380,49,19-02-2022
44,201792371533919,110,31,11-09-2022
45,201792371533919,1030,67,20-05-2022
46,201792371533919,2080,25,20-02-2022
47,201792371533919,2000,6,30-06-2022
48,201792371533919,2190,52,27-05-2022
49,201807471240148,2220,52,26-01-2022
50,201807471240148,2330,32,12-09-2021
51,201807471240148,1730,2,08-01-2022
52,201884412108924,1240,2,29-06-2022
53,201897421684594,2380,35,21-06-2021
54,201898839031204,1120,78,27-11-2021
55,201898839031204,2160,66,24-06-2022
56,201898839031204,180,5,15-12-2022
57,201898839031204,1120,69,09-02-2022
58,201906897724188,1160,68,19-10-2022
59,201906897724188,700,84,11-03-2022
60,201906897724188,2050,85,06-04-2022
61,201906897724188,2140,9,17-07-2022
62,201925489518964,1950,85,19-08-2022
63,201925489518964,660,12,11-02-2022
64,201927261126404,2480,84,02-06-2022
65,201927261126404,150,43,20-03-2022
66,201927261126404,2280,11,14-07-2022
67,201935579571104,2340,55,12-01-2022
68,201935579571104,1870,8,02-10-2021
69,201935579571104,650,17,02-01-2022
70,201935579571104,1640,74,08-09-2021
71,201972263539170,1360,16,10-12-2021
72,201972263539170,330,35,14-11-2021
73,30020475989275,1230,73,13-06-2022
74,30020475989275,100,14,13-06-2022
75,30020475989275,900,83,30-06-2022
76,30020475989275,1170,27,15-06-2022
77,30020475989275,1710,82,12-06-2022
78,30023680009277,440,24,17-06-2022
79,30023680009277,2020,40,23-09-2022
80,30023680009277,160,68,10-08-2022
81,30058474947456,920,32,14-10-2022
82,30058474947456,1600,1,21-10-2022
83,30083460908890,230,50,04-11-2022
84,30083460908890,1080,60,19-01-2022
85,30083460908890,970,49,16-02-2022
86,30083460908890,2280,24,26-03-2022
87,30108369393462,640,50,14-12-2022
88,30138132384134,1680,27,21-05-2022
89,30138132384134,1310,75,12-11-2021
90,30154537228438,1730,11,12-06-2021
91,30154537228438,2160,74,28-06-2021
92,30154537228438,1870,55,11-06-2021
93,30242870366251,1920,45,27-04-2022
94,30242870366251,30,35,26-04-2022
95,30242870366251,1540,83,27-04-2022
96,30242870366251,400,67,30-04-2022
97,30250263713823,2310,44,13-07-2022
98,30250263713823,130,24,12-03-2022
99,30272751883421,1500,39,09-08-2022
100,30272751883421,1370,21,07-09-2022
101,30272751883421,1550,40,21-10-2022
102,30309602894510,1780,65,06-02-2022
103,30338535439838,1000,68,08-05-2022
104,30338535439838,590,10,22-07-2022
105,30338535439838,1850,30,18-10-2022
106,30338535439838,1960,51,11-12-2021
