AE236837503028130721519,yearly,3.8
AE953455736311284747558,half year,4.9
AT226036253155779986,yearly,1.3
AT312563855247280428,monthly,2.0
AT678813955725840852,monthly,2.9
AZ32WDFXIMHARYKZEWVKS5QG5GQ7,monthly,4.5
AZ64HEGTJCSUZBLP4MODQD5TXA2Y,quarter,1.2
AZ73BFASXO7TAC1SDXQLYB2RTNGJ,monthly,3.5
BG13JEIC509423NAXUKOLW,half year,5.4
BG80BGKW2232103ST3GTY6,half year,3.5
BH28EQZSLZB0CFICEYOZHW,quarter,3.4
BH54PCIVYK9ZY4NPXRS8O3,yearly,4.8
BH58MVVMELSVPCFDSZUQT8,monthly,5.4
BR1205660151330024495652954UY,yearly,4.1
BR7237078533304381976578605ED,quarter,2.0
CH1618474PWEBI8QAGREI,half year,0.7
CH584827884PGVRUBCRFO,yearly,1.1
CH6793171T2FIYUY16UEY,yearly,3.0
CY12037553938HANCACNARCJXUQ2,quarter,2.4
CY32592408595KQLQUM1CG60C779,monthly,1.1
CY8714298070SW8FV1GLHBWSTKYO,quarter,5.3
CZ7345444139802983588544,monthly,3.0
CZ7501037659587135778487,yearly,1.2
DE24606440803858670949,quarter,0.7
DE87413056918276489411,monthly,3.0
DO692LOA24615275459286419733,yearly,4.5
ES1439225274313147027314,quarter,2.6
ES4028147503081363996112,monthly,4.5
FI5111950414945047,yearly,4.1
FO0906938323937245,quarter,0.3
FR044345369650K70UZEP1PLB38,quarter,3.4
FR1177144071868EIO0XBPAQH30,monthly,3.1
FR156859604172LTRQ0ETNXXL69,half year,1.3
FR219161520100MAECISS28QI76,monthly,2.8
FR241647887802ACKVGEEEQZM87,yearly,0.5
FR262813619748PNCVTCELAXG12,half year,3.1
FR263097337494WTJNN9YCWBB79,yearly,0.8
FR273037025062NQTUZGL8HIC68,yearly,4.5
FR303288991256XXMQKCMLZAD26,monthly,1.4
FR3141806374742YTJQIW8M8V61,half year,1.4
FR380744423606NAPDXC8TKRV13,half year,3.9
FR5041164036327DMV1CRBHOK58,monthly,2.8
FR521761738278VD4WOODAQLA67,quarter,3.4
FR569310056713SC8KZOLNQYJ12,yearly,1.6
FR5894022872945ACYX887VOH23,quarter,2.5
FR664530848066PZS7RTSBPDX82,quarter,1.3
FR746574562519JBFAYYCZ5KX70,yearly,0.7
FR828083090168ET6ILTDQURN59,yearly,2.9
FR9031821508967Z4A0EKZ0F802,quarter,5.0
FR9782327987451AYUC37U0EF51,quarter,3.6
GI83NEWZEVPW4UU7XMWZ0HZ,yearly,1.6
GR522354528C95EVZDAXCLHWO6W,yearly,5.3
GR861288206OLQH2DAHVAN1RZMH,half year,2.1
HR2684646346109894181,quarter,2.4
HU90888651622857489620287790,quarter,0.1
IE51AAOQ21828404077999,half year,0.6
IE51HMAU92310220433666,yearly,3.4
IE72QVSZ87136645799851,yearly,3.2
IL563665854804309369837,monthly,3.8
IL930759747392977098228,half year,5.4
IL954780099934615738624,monthly,1.6
IT92R5558006844U0FADCFZP08W,monthly,2.9
KW59IMZAU6XRJDDOMKHUQXXXQNGYBX,half year,4.5
KW82KSFYM4YY93ESZGLAMCNATMMBIG,quarter,5.0
KZ08583RLSRYBXSZMLZ4,half year,2.2
KZ22464M1ORDJRMKIJGA,yearly,2.0
