1,AD0357942949XKSMVLBOOIBA,30000,14-01-2023,14-01-2023,79
2,AD3436784333NJ8STCMDIPRF,3300,25-03-2022,28-09-2022,2
3,AD3436784333NJ8STCMDIPRF,39000,20-07-2022,29-08-2022,55
4,AD6546708196DCNFM1FYRYWR,190000,11-08-2021,09-12-2022,15
5,AD9413090105NCMC3VM1EDKD,10200,23-03-2022,22-05-2022,12
6,AE208442104089089423018,6400,08-12-2022,12-12-2022,16
7,AL0870006466BDDYHJJGOUMQB7A6,38000,02-05-2022,05-05-2022,76
8,AL33908744009C521XY5QXTPUATG,15000,21-07-2022,14-09-2022,60
9,AL5959600739QLBVKSV5UR8L5MCU,9700,21-09-2022,24-10-2022,39
10,AL7735553150TGPITLB0SYRDI9PS,43000,10-03-2022,20-10-2022,98
11,AT081187867286884882,5300,10-09-2022,17-12-2022,89
12,AT419337944819836915,30000,27-10-2022,10-01-2023,14
13,AT419337944819836915,11600,09-07-2022,30-09-2022,46
14,AT419337944819836915,5200,15-08-2022,11-10-2022,24
15,AT656820572156158682,250000,25-02-2022,08-07-2022,66
16,AT671585863609047907,3400,10-04-2022,23-04-2022,101
17,BA930876333848218316,7400,12-07-2022,19-09-2022,28
18,BA930876333848218316,5500,22-10-2021,12-07-2022,96
19,BE14175804407331,9500,09-07-2022,23-12-2022,5
20,BE78314242337572,26000,25-12-2021,01-01-2022,32
21,BE78314242337572,33000,01-11-2021,11-08-2022,94
22,BE78314242337572,34000,03-11-2022,06-11-2022,78
23,BG10EWTB1413962P6E6CZJ,300000,10-11-2022,12-12-2022,37
24,BG38CTRP707888CHJO8ZXK,43000,07-05-2022,29-06-2022,90
25,BH72VEUO4WGT154P1GOGKD,35000,23-12-2021,29-12-2021,71
26,BH89XBHG5UNJQVF7DMBYNQ,6200,02-06-2021,13-10-2021,11
27,BR6719619074764247260759846PC,11600,12-04-2022,11-10-2022,100
28,CH9064317NC6X7QUDMO5B,3700,15-08-2021,28-08-2021,19
29,CR5710841972545014452,150000,02-09-2022,20-12-2022,56
30,CY9215826814N5WF0EAUVLRJNYEP,32000,16-11-2022,21-12-2022,83
31,CY95098509140KUMVLON9VLJIQD8,260000,16-12-2022,29-12-2022,72
32,CZ4646558313350058759499,28000,19-02-2022,22-07-2022,107
33,CZ4978198580333176676814,9200,30-06-2021,24-09-2021,45
34,DE02655198100986171775,7700,06-12-2022,28-12-2022,107
35,DE26201314004591017445,260000,01-08-2022,09-08-2022,16
36,DE26201314004591017445,16000,29-07-2022,15-08-2022,62
37,DE40064213356819991051,5400,10-07-2021,19-09-2021,44
38,DE42771744757544870860,11900,03-02-2022,05-04-2022,50
39,DE77222806807739559532,8300,21-06-2022,24-06-2022,47
40,DE88503433710437310817,16000,27-11-2022,10-01-2023,22
41,DK1296358774419108,6100,09-06-2021,15-10-2021,36
42,DK5795947186416720,24000,28-02-2022,01-07-2022,107
43,DK6058517087729622,9100,08-08-2022,08-12-2022,101
44,DO65YOCL31275685388452922839,4200,17-08-2022,19-09-2022,82
45,ES3876567973341776820457,4700,08-06-2022,28-10-2022,97
46,ES6345491053851602647405,35000,29-12-2021,28-01-2022,51
47,FI2219198455116224,41000,15-08-2022,25-10-2022,69
48,FR023968166162QFMI9LTRFYP13,25000,28-01-2022,02-03-2022,45
49,FR052117707973ENFZR7TSHFB68,38000,20-10-2022,13-01-2023,83
50,FR0871364849612TYD80JXEME62,23000,21-12-2021,30-12-2022,12
51,FR1543277896585ZIK0CSQLQV29,3800,07-10-2022,24-12-2022,32
52,FR1543277896585ZIK0CSQLQV29,5000,25-10-2022,27-12-2022,84
53,FR1543277896585ZIK0CSQLQV29,44000,19-06-2022,25-11-2022,66
54,FR1549583566069TR1N2XWOYX34,8500,08-09-2022,21-12-2022,60
55,FR236631003080GIYTWDCWVFH78,6000,28-06-2021,09-09-2022,30
56,FR2505908882660FTQILUB4R861,8600,11-10-2021,24-12-2021,62
57,FR266343225064PCVUZ6NADSB73,300000,27-04-2022,07-10-2022,28
58,FR266343225064PCVUZ6NADSB73,11600,26-08-2022,13-09-2022,79
59,FR266343225064PCVUZ6NADSB73,11800,12-06-2022,08-09-2022,25
60,FR3481428835649QEVERDZJYP38,37000,15-01-2022,19-09-2022,2
61,FR390919493726CUBB0X2AUQD94,31000,27-06-2021,03-03-2022,111
62,FR415369337789HNEDLEYCLTX34,9500,23-06-2022,08-11-2022,67
63,FR5013365821287GQMMDD6OLU83,43000,04-09-2022,17-11-2022,28
64,FR554239335295BIZEUWV3CFF55,170000,08-01-2022,12-01-2023,84
65,FR554239335295BIZEUWV3CFF55,35000,24-09-2022,10-10-2022,77
66,FR555370117262M8MHCS4TW0778,25000,20-12-2021,21-03-2022,51
67,FR614281571412VPU8P4TMHZR26,21000,29-10-2022,28-12-2022,77
68,FR614281571412VPU8P4TMHZR26,39000,10-12-2022,28-12-2022,42
69,FR614281571412VPU8P4TMHZR26,10100,17-08-2022,18-10-2022,82
70,FR618914331395Y2P7V6AEBDG70,37000,05-10-2021,04-09-2022,33
71,FR618914331395Y2P7V6AEBDG70,18000,30-03-2022,10-12-2022,17
72,FR618914331395Y2P7V6AEBDG70,21000,10-03-2022,18-11-2022,18
73,FR637609456526U9RDEVHO5CB69,8900,31-05-2022,27-06-2022,94
74,FR666537258783X8OMC04VFTC42,4000,29-12-2021,26-04-2022,3
75,FR6770020963208J1UCIEIWYZ93,4300,13-06-2022,25-12-2022,18
76,FR695430719047MSWFWEIHCAO18,24000,07-11-2021,10-12-2021,58
77,FR768052907885WGR8C1JBYOU54,6000,01-12-2022,06-12-2022,2
78,FR794576365824OBDHH9XQU3Z48,44000,29-07-2022,29-07-2022,77
79,FR815550418281TQ84CJY8Q0X83,6700,04-05-2022,05-09-2022,17
80,FR836087418377IWU8PVEGDVU13,310000,14-09-2021,14-09-2021,21
81,FR8531903426929BVM9A1DXCW93,140000,16-02-2022,06-06-2022,7
82,FR8531903426929BVM9A1DXCW93,6300,09-08-2022,08-09-2022,24
83,FR866323816569TBEYXL0UTTS96,9700,20-05-2022,09-09-2022,109
84,FR880802642577SKWA7FFSOSY93,39000,14-06-2022,16-07-2022,26
85,FR9236728895752YBZZQ60JCF08,38000,12-05-2022,09-07-2022,35
86,FR936121328389LQQGOASLWT796,7400,25-12-2022,06-01-2023,20
87,FR938173448585BAIZQZ14X8G91,8100,26-07-2022,25-11-2022,46
88,FR938173448585BAIZQZ14X8G91,6200,01-04-2022,11-12-2022,71
89,FR938173448585BAIZQZ14X8G91,160000,24-11-2021,06-01-2023,105
90,FR957095196666WZCFKX7UIOC49,37000,19-03-2022,26-04-2022,51
91,FR980228933378SS3VLX9UACU28,5300,09-12-2021,21-06-2022,6
92,FR980951897243NIURNICRP1L79,9500,07-11-2022,21-12-2022,81
93,GB40XYTB95618940277915,18000,17-07-2021,05-10-2022,72
94,GB72MTCS12171466615466,11600,20-08-2022,06-12-2022,80
95,GB76IQCB97160799774998,4700,13-10-2021,01-11-2022,57
96,GE05PJ4309768640882233,6400,09-07-2022,14-12-2022,55
97,GE75WE8521088818461588,31000,31-05-2022,13-06-2022,83
98,GI02OSMLZCVPC3LI6P7EZUF,10200,12-05-2022,14-06-2022,77
99,GI75AYZZSTSK4O602XYWK5Y,4500,09-01-2023,14-01-2023,26
100,GL4455269002179975,9900,19-01-2022,22-06-2022,20
101,GL5292163970877711,9900,08-09-2022,22-10-2022,77
102,GR398289153L5EKN5JL8GVUGQ9D,6500,09-01-2023,12-01-2023,48
103,GR468571309BMGLC5BMOONSZWQT,3700,26-11-2022,16-12-2022,80
104,GR665961948ADBSX9QJRLACNGCS,15000,28-05-2022,11-12-2022,44
105,GT83QMU2BFPVMOYQBSZ9SLMMIWW3,7200,07-12-2022,09-12-2022,77
106,HR2750206937399363641,10300,28-11-2021,21-04-2022,97
